Sample	Isolate_Name	Subtype	Clade	Passage_History	Location	Host	Collection_Date
EPI3600292	A/France/ARA-HCL024121683701/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2024-08-01
EPI3213592	A/France/OCC-RELAB-HCL024031760201/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Occitanie	Human	2024-02-14
EPI3152803	A/France/NAQ-RELAB-HCL024023386901/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Nouvelle-Aquitaine	Human	2024-01-29
EPI3059932	A/France/ARA-HCL024016681401/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2024-01-29
EPI3015822	A/France/ARA-RELAB-HCL024015536501/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2024-01-20
EPI2848717	A/France/ARA-RELAB-HCL023184404101/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / France / Auvergne-Rhone-Alpes	Human	2023-11-13
EPI2848584	A/France/ARA-RELAB-HCL023182313901/2023	A / H3N2	unassigned		Europe / France / Auvergne-Rhone-Alpes	Human	2023-11-08
EPI2100276	A/Kyiv/382/2021	A / H3N2	3C.2a1b.2a.2a.2		Europe / Ukraine / Kiev Oblast / Europe / Ukraine / Kyiv	Human	2021-12-12
EPI2241238	A/Saudi Arabia/KFMC-131/2019	A / H3N2	unassigned		Asia / Saudi Arabia / Mintaqat ar Riyad	Human	2019-12-01
EPI4547806	A/South Africa/NICD-R05415/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / South Africa / KwaZulu Natal	Human	2025-06-13
EPI4453175	A/South Africa/NICD-R05367/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / South Africa / Gauteng	Human	2025-06-13
EPI4452785	A/South Africa/NICD-R05009/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / South Africa / Province of the Western Cape	Human	2025-06-02
EPI4246464	A/South Africa/R03202/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / South Africa / Gauteng	Human	2025-03-24
EPI3590391	A/Bangladesh/icddrb-1220608023/2022	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Bangladesh / Khulna Division / Asia	Human	2022-06-23
EPI1986333	A/Denmark/47/2022	A / H3N2	3C.2a1b.2a.2		Europe / Denmark	Human	2022-01-20
EPI4788204	A/Denmark/3384/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-10-13
EPI4524333	A/Denmark/2858/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-04-10
EPI4524325	A/Denmark/2872/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-04-12
EPI4374148	A/Denmark/2458/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-03-24
EPI4373966	A/Denmark/1308/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-02-12
EPI4373663	A/Denmark/1296/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-02-12
EPI4372857	A/Denmark/2198/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2025-03-11
EPI3626284	A/Denmark/2314/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Denmark	Human	2024-09-13
EPI4824043	A/Punta Arenas/76956/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Chile	Human	2025-09-13
EPI4823676	A/Santiago/75189/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Chile	Human	2025-09-09
EPI4823456	A/Santiago/72273/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Chile	Human	2025-08-29
EPI1973371	A/Lisboa/5/2021	A / H3N2	3C.2a1b.2a.2	Original	Europe / Portugal / Distrito de Lisboa	Human	2021-12-03
EPI4234347	A/Baltimore/JH-1020/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States	Human	2025
EPI3729266	A/Baltimore/JH-1273/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States	Human	2024
EPI2353149	A/Baltimore/JH-0616/2022	A / H3N2	3C.2a1b.2a.2b		North America / United States	Human	2022-10-24
EPI2217021	A/Baltimore/JH-0351/2022	A / H3N2	3C.2a1b.2a.2b		North America / United States	Human	2022-10-06
EPI2216416	A/Baltimore/JH-0472/2022	A / H3N2	3C.2a1b.2a.2b		North America / United States	Human	2022-10-22
EPI2032395	A/Baltimore/JH-087/2021	A / H3N2	3C.2a1b.2a.2a		North America / United States	Human	2021-12-20
EPI3930705	A/India/Del-IGSQ738/2021	A / H3N2	3C.2a1b.2a.2a	Original	Asia / India / National Capital Territory of Delhi	Human	2021-03-22
EPI3930601	A/India/Thi-NIV239222/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / India / Thiruvarur	Human	2023-02-27
EPI3930377	A/India/Del-IGSQ492/2022	A / H3N2	3C.2a1b.2a.2a.3b	Original	Asia / India / National Capital Territory of Delhi	Human	2022-10-11
EPI1885058	A/India/Pun-NIV327745/2021 Jul	A / H3N2	3C.2a1b.2a.2a.3	Original	Asia / India / Maharashtra / Pune	Human	2021-07-05
EPI1885055	A/India/Pun-NIV327049/2021 Jul	A / H3N2	3C.2a1b.2a.2a	Original	Asia / India / Maharashtra / Pune	Human	2021-07-03
EPI1885054	A/India/Pun-NIV326980/2021 Jul	A / H3N2	3C.2a1b.2a.2	Original	Asia / India / Maharashtra / Pune	Human	2021-07-03
EPI1885029	A/India/Pun-NIV301132/2021 Apr	A / H3N2	3C.2a1b.2a.2c	MDCK P3	Asia / India / Maharashtra / Pune	Human	2021-04-11
EPI1868862	A/India/Pun-NIV313370/2021 May	A / H3N2	3C.2a1b.2a.2	Original	Asia / India / Maharashtra / Pune	Human	2021-05-17
EPI4731419	A/Cartagena/UC-25_0104/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Colombia / Departamento de Bolivar / Cartagena de Indias	Human	2025-07-11
EPI4749248	A/South Australia/2527513504/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / South Australia	Human	2025-10-02
EPI2298233	A/Ankara/GED-14020_7/2022	A / H3N2	unassigned		Asia / Turkey / Ankara Province	Human	2022-12-20
EPI4813060	A/Thessaloniki/834/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	cs	Europe / Greece / Nomos Rodopis	Human	2025-10-23
EPI4884998	A/Colombia/ANT-LDSP7/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Colombia / Departamento de Antioquia	Human	2025-11-12
EPI4741359	A/Colombia/ANT-LDSP16273/2025	A / H3N2	3C.2a1b.2a.2a.3a		South America / Colombia / Departamento de Antioquia / Medellin	Human	2025-07-14
EPI1806855	A/Mexico/INCMNSZ/BMQ558/Dec2019/H3N2	A / H3N2	3C.2a1b.2b	Original	North America / Mexico / Federal District	Human	2019-12-16
EPI2907812	A/Romania/3420/2023	A / H3N2	unassigned		Europe / Romania / Bucharest	Human	2023-12-18
EPI4759370	A/INDIA/ARI_25_401/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / India / PUDUCHERRY	Human	2025-08-04
EPI4515074	A/South Africa/NHLS-SU-CERI-C069319/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape / Cape Town	Human	2025-05-15
EPI4503790	A/South Africa/NHLS-UCT-CERI-C069250/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape	Human	2025-05-08
EPI4909174	A/Ontario/PHL202500861/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Canada / Ontario	Human	2025-11-10
EPI4908950	A/Ontario/PHL202500823/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Canada / Ontario	Human	2025-10-31
EPI4908486	A/Ontario/PHL202500676/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K		North America / Canada / Ontario	Human	2025-09-18
EPI4907882	A/T�rkiye/HSGM-S2425-P58/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Turkey / Ankara Province	Human	2025-01-15
EPI4594060	A/ABUDHABI/UAE/0004870/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-03-03
EPI4673381	A/Queensland/IN001832/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / Queensland	Human	2025-06-26
EPI4455049	A/Queensland/IN001272/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / Queensland	Human	2025-04-03
EPI3612589	A/Queensland/IN000225/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / Queensland	Human	2024-07-26
EPI3612191	A/Queensland/IN000154/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / Queensland	Human	2024-06-11
EPI4191427	A/PaisVasco/37709629/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / Basque Country	Human	2025-02-06
EPI4115464	A/PaisVasco/72521235/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / Basque Country	Human	2025-02-14
EPI4052448	A/PaisVasco/47136947/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / Basque Country	Human	2025-01-24
EPI4017034	A/PaisVasco/70176084/2025	A / H3N2	3C.2a1b.2a.2a.3a	Original	Europe / Spain / Basque Country	Human	2025-01-19
EPI4744197	A/Peru/LIM-INS-646/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Peru / LIMA	Human	2025-08-25
EPI4356937	A/Peru/LAM-INS-517/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Peru / Departamento de Lambayeque / Chiclayo	Human	2025-01-09
EPI4356905	A/Peru/PIU-INS-513/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Peru / Departamento de Piura / Sullana	Human	2024-12-14
EPI3628486	A/Peru/LIM-INS-109/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Peru / Departamento de Lima / Lima	Human	2024-03-12
EPI4624393	A/Taiwan/C22085/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Taiwan	Human	2025-05-21
EPI4522546	A/Ontario/908/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2025-03-03
EPI4517869	A/Ontario/880/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2025-02-27
EPI4510115	A/Ontario/714/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2025-01-28
EPI4507557	A/Ontario/759/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2025-01-30
EPI4500015	A/Ontario/122/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2025-01-14
EPI3031401	A/Ontario/024/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Ontario	Human	2024-01-04
EPI4494352	A/Alberta/24/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Alberta	Human	2025-01-14
EPI4506984	A/Quebec/178/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / Quebec	Human	2025-02-05
EPI4506519	A/British_Columbia/262/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / British Columbia	Human	2025-02-10
EPI3506162	A/Santiago/40356/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Chile / Region Metropolitana de Santiago	Human	2024-05-19
EPI1505388	A/Concepcion/50561/2019	A / H3N2	3C.2a1b.2	Original	South America / Chile / Concepcion	Human	2019-05-22
EPI4255105	A/Luxembourg/LNS6698663/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Luxembourg	Human	2025-02-27
EPI4590410	A/Valencia/CSISP-11_0950/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Direct sequencing	Europe / Spain / Valencian Community / Valencia	Human	2025-04-15
EPI2880268	A/Belgium/S0524/2023	A / H3N2	3C.2a1b.2a.2	Original	Europe / Belgium	Human	2023-01-13
EPI2701019	A/England/233000524/2023	A / H3N2	3C.2a1b.2a.2a.3b	original	Europe / United Kingdom / MANCHESTER	Human	2023-07-10
EPI2305493	A/England/224780608/2022	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / BUCKHURST HILL	Human	2022-11-22
EPI2287820	A/England/224660802/2022	A / H3N2	3C.2a1b.2a.2b	original	Europe / United Kingdom / OXON	Human	2022-11-16
EPI1963830	A/England/203680658/2020	A / H3N2	3C.2a1b.2a.2	original	Europe / United Kingdom / CAMBRIDGE	Human	2020-09-01
EPI1962330	A/England/214720679/2021	A / H3N2	3C.2a1b.2a.2a	original	Europe / United Kingdom / LEEDS	Human	2021-11-19
EPI1924480	A/England/211640706/2021	A / H3N2	3C.2a1b.2a.2		Europe / United Kingdom / BIRMINGHAM	Human	2021-04-18
EPI2865458	A/Yunnan-Wenshan/1591/2022	A / H3N2	3C.2a1b.2a.1a	C1	Asia / China / Yunnan	Human	2022-07-11
EPI2864466	A/Yunnan-Mengzi/1162/2019	A / H3N2	3C.2a1b.2	C1	Asia / China / Yunnan	Human	2019-02-19
EPI4762957	A/Ghana/FS-25-7431/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Ghana / Greater Accra	Human	2025-09-29
EPI4721162	A/Ghana/FS-25-5051/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Ghana / Cebtral Region	Human	2025-07-09
EPI4495698	A/Ghana/FS-25-4312/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Ghana / Volta Region	Human	2025-06-27
EPI3197217	A/Ghana/FS-24-1740/2024	A / H3N2	unassigned		Africa / Ghana / Greater Accra Region	Human	2024-03-28
EPI4390892	A/Malaysia/IMR-SARI1132/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Malaysia / Negeri Sembilan	Human	2025-05-04
EPI4677963	A/Malaysia/IMR/SARI/2046/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Malaysia / Kelantan	Human	2025-08-10
EPI4390916	A/Malaysia/IMR/SARI/1203/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Malaysia / Kelantan	Human	2025-05-11
EPI4906408	A/Pakistan/NIC/NIH/2706/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Pakistan / Islamabad Capital Territory	Human	2025-12-11
EPI3497338	A/Pakistan/ICT/334/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Pakistan / Islamabad Capital Territory	Human	2024-02-20
EPI2922087	A/Pakistan/AHF-NIH/KPK/025/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Pakistan / North-West Frontier Province	Human	2023-12-26
EPI2922071	A/Pakistan/AHF-NIH/KPK/023/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Pakistan / North-West Frontier Province	Human	2023-12-26
EPI2505319	A/Pakistan/NIH-ICT-905/2023	A / H3N2	3C.2a1b.2a.2a.3b	Original	Asia / Pakistan / Islamabad Capital Territory	Human	2023-02-14
EPI4321734	A/Galicia/52497935/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Spain / Galicia / Ourense / Ourense	Human	2025-03-10
EPI4322662	A/Galicia/36499341/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Spain / Galicia / Pontevedra / Vigo	Human	2025-03-29
EPI4487611	A/Mexico/QUE_InDRE_F2204/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Mexico / Queretaro	Human	2025-03-16
EPI4399532	A/Mexico/NLE_InDRE_821/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Mexico / Nuevo Leon	Human	2025-01-23
EPI4399297	A/Mexico/SON_InDRE_426/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Mexico / Sonora	Human	2025-01-07
EPI4173316	A/Mexico/SLP_InDRE_188/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Mexico / San Luis Potosi	Human	2025-01-02
EPI4433825	A/Smolensk/CRIE/237/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Russian Federation / Smolensk Oblast	Human	2025-01-27
EPI1956612	A/Kursk/CRIE/98/2021	A / H3N2	3C.2a1b.2a.2a.2		Europe / Russian Federation / Kursk Oblast	Human	2021-11-29
EPI4204794	A/Netherlands/10843/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Netherlands	Human	2025-03-15
EPI1987892	A/Netherlands/10072/2022	A / H3N2	3C.2a1b.2a.2a	Original	Europe / Netherlands	Human	2022-02-12
EPI4591723	A/French Guiana/909/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / French Guiana / Saint-Laurent du Maroni	Human	2025-07-01
EPI4235011	A/Guadeloupe/588/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Guadeloupe / Petit Bourg	Human	2025-02-04
EPI2149298	A/Uruguay/1848/2022	A / H3N2	3C.2a1b.2a.2a.3	original	South America / Uruguay / Departamento de Montevideo	Human	2022-04-25
EPI1970634	A/South Africa/R15449/2021	A / H3N2	3C.2a1b.2a.2c	MDCK1/SIAT1	Africa / South Africa	Human	2021-10-21
EPI1981069	A/Israel/R-6982/2021	A / H3N2	3C.2a1b.2a.2	Px/SIAT1	Asia / Israel	Human	2021-09-12
EPI2721528	A/Cameroon/1742/2023	A / H3N2	3C.2a1b.2a.2a.3	SIAT1	Africa / Cameroon	Human	2023-02-17
EPI1889254	A/Norway/16606/2021	A / H3N2	3C.2a1b.2a.2a	cs	Europe / Norway	Human	2021-08-07
EPI1975961	A/Iran/Ab29A/10/2021	A / H3N2	3C.2a1b.2a.2a.1	SIAT5/SIAT1	"Asia / Iran, Islamic Republic of"	Human	2021-11-18
EPI2821605	A/Qatar/10-VI-23-0095639/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Asia / Qatar	Human	2023-09-18
EPI1889269	A/Qatar/16-VI-21-3950368/2021	A / H3N2	3C.2a1b.2a.2c	cs	Asia / Qatar	Human	2021-08-10
EPI1985564	A/Belgium/H0004/2022	A / H3N2	3C.2a1b.2a.2b	cs	Europe / Belgium	Human	2021-12-07
EPI4469107	A/Iceland/12454/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Europe / Iceland	Human	2025-04-17
EPI2337213	A/Iceland/63589/2022	A / H3N2	3C.2a1b.2a.2a.3b	cs	Europe / Iceland	Human	2022-12-15
EPI4064063	A/Valladolid/1187/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Europe / Spain	Human	2025-01-07
EPI4063745	A/Egypt/48/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	E1	Africa / Egypt	Human	2024-12-03
EPI2087854	A/Bulgaria/648/2022	A / H3N2	3C.2a1b.2a.2a	SIAT2/SIAT1	Europe / Bulgaria	Human	2022-01-30
EPI4212996	A/Albania/310561/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Europe / Albania	Human	2025-01-06
EPI3102320	A/Kyrgyzstan/122/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Asia / Kyrgyzstan	Human	2023-12-14
EPI4518373	A/Panama/274964/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	North America / Panama	Human	2025-05-10
EPI3540700	A/Orenburg/20/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK3/SIAT1	Europe / Russian Federation	Human	2024-02-06
EPI2235443	A/Melilla/3851/2022	A / H3N2	3C.2a1b.2a.2b	cs	Europe / Spain	Human	2022-10-07
EPI4082803	A/Kosovo/3353/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Europe / Kosovo	Human	2024-12-24
EPI1543132	A/Kosovo/1159/2019	A / H3N2	3C.2a1b.2	SIAT1	Europe / Kosovo	Human	2019-04-03
EPI4063493	A/Togo/1117/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Africa / Togo	Human	2024-10-07
EPI4063235	A/Togo/A17/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	cs	Africa / Togo	Human	2024-10-15
EPI2047133	A/Netherlands/10194/2021	A / H3N2	3C.2a1b.2a.2a.3	MDCK-MIX2/SIAT1	Europe / Netherlands	Human	2021-12-19
EPI4802880	A/Hong Kong/HKU-251121-006/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	Original	Asia / Hong Kong (SAR)	Human	2025-10-12
EPI4931635	A/Ireland/00081573/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Ireland	Human	2025-10-27
EPI4833108	A/Ireland/00074779/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Ireland	Human	2025-10-13
EPI4801931	A/Ireland/00081276/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Ireland	Human	2025-11-04
EPI4801923	A/Ireland/00078849/2025	A / H3	3C.2a1b.2a.2a.3a.1		Europe / Ireland	Human	2025-10-28
EPI2724954	A/Hong Kong/1629/2023	A / H3	3C.2a1b.2a.2a.3a.1	MDCK	Asia / Hong Kong (SAR)	Human	2023-07-21
EPI4815180	A/Bangkok/P4302/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand / Bangkok	Human	2025-10-21
EPI4814901	A/Tak/P4889/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand / Tak	Human	2025-11-07
EPI4814627	A/Bangkok/s4196w/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand / Bangkok	Human	2025-09-08
EPI4628056	A/Nakhon Phanom/P2667/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand / Nakhon Phanom	Human	2025-08-18
EPI4569411	A/Nakhon Phanom/P1846/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand / Nakhon Phanom	Human	2025-07-01
EPI3664811	A/Tak/F1323/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Thailand / Tak	Human	2024-08-09
EPI1641089	A/Denmark/3263/2019	A / H3N2	3C.2a1b.2a	Original	Europe / Denmark	Human	2019-10-12
EPI3117786	A/Hessen/33/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Germany	Human	2024-02-16
EPI2842099	A/Berlin/32/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Germany	Human	2023-11-13
EPI2460049	A/Bremen/65/2022	A / H3N2	3C.2a1b.2a.2b	Original	Europe / Germany	Human	2022-12-19
EPI2170345	A/Berlin/91/2022	A / H3N2	3C.2a1b.2a.2b	Original	Europe / Germany	Human	2022-05-13
EPI1440658	A/Baden-Wuerttemberg/295/2019	A / H3N2	3C.2a1b.2	Original	Europe / Germany	Human	2019-04-05
EPI1378263	A/Baden-Wuerttemberg/90/2019	A / H3N2	3C.2a1b.2b	Original	Europe / Germany	Human	2019-02-06
EPI4950604	A/Nebraska/USAFSAM-16507/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	Original	North America / United States / Nebraska	Human	2025-12-16
EPI4914409	A/North Dakota/USAFSAM-16450/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	Original	North America / United States / North Dakota	Human	2025-12-08
EPI4545183	A/United Kingdom/16158/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / United Kingdom / Suffolk	Human	2025-03-07
EPI4544350	A/Oklahoma/16043/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Oklahoma	Human	2025-02-04
EPI4516595	A/Texas/15996/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Texas	Human	2025-01-22
EPI4516132	A/Arizona/15932/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Arizona	Human	2025-01-30
EPI4515736	A/Kentucky/15878/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Kentucky	Human	2025-01-27
EPI4096519	A/Texas/15542/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Texas	Human	2024-12-02
EPI3365716	A/Texas/14940/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Texas	Human	2024-03-11
EPI2996203	A/Oklahoma/14467/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Oklahoma	Human	2023-12-19
EPI2995825	A/California/14401/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / California	Human	2024-01-04
EPI2916549	A/Colorado/14334/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Colorado	Human	2023-12-04
EPI2799911	A/South Carolina/14261/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / South Carolina	Human	2023-10-03
EPI2416862	A/North Dakota/14085/2023	A / H3N2	3C.2a1b.2a.2a.1b	Original	North America / United States / North Dakota	Human	2023-01-09
EPI2289651	A/California/13545/2022	A / H3N2	3C.2a1b.2a.2b	Original	North America / United States / California	Human	2022-11-18
EPI2109723	A/Washington/13327/2022	A / H3N2	3C.2a1b.2a.2a.1	Original	North America / United States / Washington	Human	2022-05-13
EPI2109420	A/Texas/13287/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	North America / United States / Texas	Human	2022-04-27
EPI2090280	A/New York/13016/2022	A / H3N2	3C.2a1b.2a.2a.3a	Original	North America / United States / New York	Human	2022-04-11
EPI2027158	A/Montana/12638/2022	A / H3N2	3C.2a1b.2a.2a	Original	North America / United States / Montana	Human	2022-03-02
EPI1925926	A/Maryland/12391/2021	A / H3N2	3C.2a1b.2a.2a.1a	Original	North America / United States / Maryland	Human	2021-10-13
EPI1654379	A/Washington/9904/2019	A / H3N2	3C.2a1b.2b	Original	North America / United States / Washington	Human	2019-10-04
EPI4899371	A/Catalonia/NSVH161522923/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / Catalonia / Barcelona	Human	2025-12-10
EPI3165642	A/Ulaanbaatar/10859/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original Specimen	Asia / Mongolia / Ulaanbaatar Hot	Human	2023-12-07
EPI1420319	A/Catalonia/0762403S/2019	A / H3N2	3C.2a1b.2	Original	Europe / Spain / Catalonia / Tarragona	Human	2019-02-14
EPI4793223	A/Finland/844/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Finland	Human	2025-09-20
EPI4555194	A/LaRioja/1742/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	MDCK	Europe / Spain / La Rioja	Human	2025-05-15
EPI4900056	A/Indonesia/BIOKES-SRKI0484/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Jawa Tengah	Human	2025-10-03
EPI4899904	A/Indonesia/BIOKES-ES112214171W/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	Original	Asia / Indonesia / Sumatera Utara	Human	2025-10-01
EPI4747590	A/Indonesia/BIOKES-I-BT0038/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Indonesia / Kepulauan Riau	Human	2025-06-20
